reserva_id,checkin,checkout,noites,ano,mes,canal,tipo_quarto,preco_noite,revenue_total,comissao_pct,comissao_valor,nacionalidade,num_hospedes,cancelada
1000,2023-01-22,2023-01-25,3,2023,1,Booking.com,Standard,52.19,156.57,0.15,23.49,Espanhola,2,0
1001,2023-01-23,2023-01-26,3,2023,1,Booking.com,Standard,56.38,169.14,0.15,25.37,Brasileira,2,0
1002,2023-01-11,2023-01-14,3,2023,1,Direto,Standard,58.63,175.89,0.0,0.0,Britânica,1,1
1003,2023-01-20,2023-01-24,4,2023,1,Booking.com,Standard,50.79,203.16,0.15,30.47,Britânica,3,0
1004,2023-01-27,2023-01-30,3,2023,1,Expedia,Suite,114.16,342.48,0.18,61.65,Americana,2,0
1005,2023-01-08,2023-01-09,1,2023,1,Booking.com,Standard,52.92,52.92,0.15,7.94,Espanhola,2,0
1006,2023-01-23,2023-01-26,3,2023,1,Direto,Standard,53.65,160.95,0.0,0.0,Espanhola,2,0
1007,2023-01-21,2023-01-28,7,2023,1,Direto,Standard,53.92,377.44,0.0,0.0,Alemã,2,0
1008,2023-01-09,2023-01-11,2,2023,1,Direto,Standard,50.08,100.16,0.0,0.0,Espanhola,2,1
1009,2023-01-21,2023-01-23,2,2023,1,Direto,Standard,56.97,113.94,0.0,0.0,Italiana,1,0
1010,2023-01-19,2023-01-21,2,2023,1,Direto,Superior,81.85,163.7,0.0,0.0,Brasileira,2,1
1011,2023-01-05,2023-01-09,4,2023,1,Booking.com,Standard,58.08,232.32,0.15,34.85,Francesa,3,0
1012,2023-01-18,2023-01-21,3,2023,1,Booking.com,Standard,60.73,182.19,0.15,27.33,Portuguesa,2,0
1013,2023-01-10,2023-01-12,2,2023,1,Direto,Superior,82.19,164.38,0.0,0.0,Brasileira,1,0
1014,2023-01-17,2023-01-21,4,2023,1,Direto,Superior,85.36,341.44,0.0,0.0,Espanhola,3,0
1015,2023-01-18,2023-01-22,4,2023,1,Airbnb,Superior,72.58,290.32,0.03,8.71,Portuguesa,2,0
1016,2023-01-08,2023-01-12,4,2023,1,Booking.com,Standard,60.61,242.44,0.15,36.37,Portuguesa,2,0
1017,2023-01-18,2023-01-24,6,2023,1,Booking.com,Superior,82.93,497.58,0.15,74.64,Francesa,1,0
1018,2023-01-07,2023-01-09,2,2023,1,Expedia,Standard,59.37,118.74,0.18,21.37,Alemã,3,0
1019,2023-01-08,2023-01-10,2,2023,1,Airbnb,Standard,59.67,119.34,0.03,3.58,Alemã,1,0
1020,2023-01-02,2023-01-05,3,2023,1,Expedia,Superior,70.31,210.93,0.18,37.97,Alemã,1,0
1021,2023-01-18,2023-01-20,2,2023,1,Booking.com,Superior,74.54,149.08,0.15,22.36,Francesa,3,1
1022,2023-01-04,2023-01-06,2,2023,1,Airbnb,Standard,54.95,109.9,0.03,3.3,Espanhola,2,0
1023,2023-01-21,2023-01-24,3,2023,1,Expedia,Suite,106.57,319.71,0.18,57.55,Espanhola,1,0
1024,2023-01-05,2023-01-08,3,2023,1,Direto,Standard,51.84,155.52,0.0,0.0,Brasileira,1,0
1025,2023-01-04,2023-01-08,4,2023,1,Direto,Standard,58.65,234.6,0.0,0.0,Portuguesa,2,0
1026,2023-01-14,2023-01-16,2,2023,1,Booking.com,Standard,58.05,116.1,0.15,17.41,Italiana,2,0
1027,2023-01-26,2023-01-28,2,2023,1,Telefone,Standard,49.75,99.5,0.0,0.0,Italiana,2,0
1028,2023-01-07,2023-01-09,2,2023,1,Direto,Superior,80.53,161.06,0.0,0.0,Britânica,2,0
1029,2023-01-16,2023-01-17,1,2023,1,Direto,Standard,53.19,53.19,0.0,0.0,Francesa,1,0
1030,2023-01-13,2023-01-17,4,2023,1,Direto,Standard,50.48,201.92,0.0,0.0,Espanhola,4,0
1031,2023-01-19,2023-01-22,3,2023,1,Airbnb,Standard,50.63,151.89,0.03,4.56,Americana,4,0
1032,2023-01-10,2023-01-13,3,2023,1,Direto,Standard,54.1,162.3,0.0,0.0,Italiana,2,0
1033,2023-01-03,2023-01-10,7,2023,1,Booking.com,Standard,60.76,425.32,0.15,63.8,Alemã,2,0
1034,2023-01-15,2023-01-17,2,2023,1,Booking.com,Standard,52.42,104.84,0.15,15.73,Britânica,2,1
1035,2023-01-22,2023-01-24,2,2023,1,Airbnb,Standard,58.75,117.5,0.03,3.52,Espanhola,4,0
1036,2023-01-20,2023-01-22,2,2023,1,Booking.com,Standard,55.84,111.68,0.15,16.75,Alemã,3,0
1037,2023-01-28,2023-02-02,5,2023,1,Airbnb,Standard,55.12,275.6,0.03,8.27,Portuguesa,1,0
1038,2023-01-09,2023-01-12,3,2023,1,Booking.com,Standard,58.25,174.75,0.15,26.21,Francesa,3,0
1039,2023-01-05,2023-01-10,5,2023,1,Expedia,Standard,50.56,252.8,0.18,45.5,Portuguesa,3,0
1040,2023-01-26,2023-01-31,5,2023,1,Booking.com,Standard,53.13,265.65,0.15,39.85,Portuguesa,3,0
1041,2023-01-14,2023-01-19,5,2023,1,Booking.com,Standard,58.35,291.75,0.15,43.76,Francesa,4,0
